Product_ID, Product_Name
('1011', "Sports 52 Wear Men's Cargos")
('1026', 'Printland PMBA1872 Ceramic Mug')
('1028', "Indistar Women's Leggings")
('1082', 'Fuson Back Cover for Samsung Galaxy J7')
('1171', 'Karta Y Bear With Game Art Plastic Pencil Box')
('1183', 'BMS Lifestyle Wallet Case Cover for Apple ipad Mini')
('1184', "COTTON ON KIDS Printed Girl's Straight Kurta")
('1260', 'Lapaya MNTR2BLU Rucksack  - 85 L')
('1338', "Riot Jeans Casual Short Sleeve Printed Women's Top")
('1369', 'Aria Rhodium Sterling Silver Pendant')
('1399', 'Saviour HPSAV F SS1 B Freedom HDPE -Blue Construction Helmet')
('1402', "Navaksha Necktie Men's  Combo")
('1444', 'Allure Auto CM 108 Car Mat Skoda Yeti')
('1461', "ZAIRE Casual 3/4 Sleeve Polka Print Women's Top")
('1501', 'Homefoster Glass Necklace')
('1567', 'Voylla Metal| Alloy Necklace')
('1587', "Leebonee Women's Leggings")
('1601', 'Lois Caron LCS-4032 Analog Watch  - For Boys| Men')
('1613', 'Adorn Women Heels')
('1640', 'Allure Silver Amethyst Sterling Silver Ring')
('1678', "Label VR Women's Gathered Dress")
('1710', "Lil'Posh Baby Girl's Kurta and Churidar Set")
('1726', 'TheLostPuppy Back Cover for Apple iPad Air')
('1728', 'Rega IT Hp Pavilion G4-1302AX G4-1302TU (65) 65 Adapter')
('1731', 'Vinnis Metal| Alloy| Fabric Necklace')
('1743', "Alibi By INMARK Women's Solid Casual Shirt")
('1778', 'GB Jewellery Charming Alloy Cubic Zirconia Yellow Gold Ring')
('1795', 'Magic 22K Yellow Gold Plated Brass Chain')
('1816', 'Vetra E00TY09 Multifunction Car Tray For Maruti Dezire Cup Holder Car Tray Table')
('1818', 'Ruchiworld Cotton Bath Towel')
('1827', 'Rakam Gold Diamond 18K White Gold 18 K Ring')
('1829', 'Unique Design Canon 10 Inch Showpiece  -  12 cm')
('1854', 'Old Spice Fresh and Fresh Lime Combo Set')
('1874', 'Udhayam Glass Necklace')
('1898', 'Allure Auto CM 1590 Car Mat HM Ambassador 2.0D')
('1906', "CrazeVilla Casual Sleeveless Solid Women's Top")
('1961', "Babeezworld Baby Boy's Romper")
('2003', 'Sri Bansilal Pearls Pearls Tara Mala Mother of Pearl Jewel Set')
('2056', 'Avon Fairness Exfoliation Face Wash and Anti-marks Cream')
('2059', 'STM Flip Cover for iPad (2nd| 3rd and 4th Generation)')
('2060', 'Volaliva Metal Choker')
('2085', "Mynte Solid Women's Cycling Shorts| Gym Shorts| Swim Shorts")
('2095', 'Karta Car With Calculator & Dual Sharpner Art Plastic Pencil Box')
('2128', 'Petshop7 PS7DB0061 L Pet Bed')
('2146', 'AKUP love-music Ceramic Mug')
('2153', "Nod'R Solid Men's Round Neck T-Shirt")
('2205', 'VDRIVE HEAVY NET / JALI_40 Sun Shade For Maruti Ertiga')
('2224', 'Vaartha Hard Anodised 3.5 L Kadhai 3.5 L')
('2253', 'Felix Y 39 Analog Watch  - For Boys| Men')
('2332', "Mode Men's Floral Print Crew Length Socks")
('2347', 'Pearl Paradise Briolette With "Ruby Red ". Swarovski Crystal Stone Dangle Earring')
('2366', "DFH Solid Men's Three Fourths")
('2400', 'APS Sleeve for iBall Slide 7334q Tablet')
('2477', 'narayan export Analog Wall Clock')
('2491', 'Like Steel Gold HBG Analog Watch  - For Girls| Women')
('2529', 'Uniball Kurutoga Round Shaped Pencils')
('2559', "Shopatplaces Animal Print Women's Regular Skirt")
('2607', 'www.thepaper.asia friends Friends Art Canvas Pencil Box')
('2618', "Akfoster Women's Leggings")
('2634', "Akfoster Women's Leggings")
('2635', 'Zevrr Sterling Silver Swarovski Zirconia Platinum NA K Ring')
('2700', 'TheLostPuppy Back Cover for Apple iPad Air')
('2710', 'dgold Beads Stone Necklace')
('2715', 'Lal Pet Products Lal1443 L Pet Bed')
('2726', "Indi Bargain Women's A-line Dress")
('2730', "Honey by Pantaloons Women's Empire Waist Dress")
('2743', 'Diti Jewellery Gold 18 K Ring')
('2773', 'Mochi Women Flats')
('2787', 'Lapguard HP Pavilion dv2124tu Replacement 6 Cell Laptop Battery')
('2803', "Sohardhastshilp Self Design Women's Lehenga| Choli and Dupatta Set")
('2813', 'TakeInCart Solid Baseball Cap')
('2827', "F Factor by Pantaloons Men's Solid Formal Shirt")
('2845', 'Hunter Electric Insect Killer')
('2910', "Oxolloxo Casual Sleeveless Embellished Women's Top")
('2913', 'JBC Collection Cotton Printed Single Bedsheet')
('2929', 'Favourite BikerZ 3514 RAD air filter Ionic Air Filters For Hero HF Dawn')
('2939', 'Selfie Boots')
('2942', 'IESD Metal Necklace')
('2949', 'Allure Auto CM 507 Car Mat Maruti New Swift')
('2965', 'Karatcraft Petunia Set Yellow Gold Diamond 18 K Ring')
('2988', 'Jewels5 Allene Yellow Gold Diamond 18 K Ring')
('3025', 'Karatcraft Raciel Gold Diamond 18 K Ring')
('3075', 'HP v220w 16 GB  Pen Drive')
('3079', 'First Smart Deal Plant Container Set')
('3116', 'Craftuno Hand Painted Lord Ganesha Idols Door Hanging - Set of 2 Showpiece  -  0 cm')
('3123', 'TheLostPuppy Back Cover for Apple iPad Air')
('3142', 'Nourish Cardboard 2-O- Folder')
('3166', 'Vinayak Antique Rope Alloy Necklace')
('3210', 'Karatcraft Gemma Yellow Gold Diamond 18 K Ring')
('3213', 'Starmark Educational Building Blocks')
('3225', 'Chickraft Alloy| Metal| Glass Bangle')
('3227', 'Netgear WN2000RPT Universal WiFi Range Extender')
('3231', 'Allure Auto CM 2024 Car Mat Honda Jazz')
('3263', "Jogur Full Sleeve Solid Men's Sweatshirt")
('3289', 'Jewel Paradise Brass Plated Brass Necklace')
('3312', "Gritstones Solid Women's Track Pants")
('3338', "TeeMoods Casual Short Sleeve Solid Women's Top")
